id,vege_name,recipe,食譜網址來源,image_path
476919,南瓜,香料烤南瓜,https://icook.tw/recipes/476919,南瓜/476919_香料烤南瓜.jpg
475826,南瓜,味噌南瓜豬,https://icook.tw/recipes/475826,南瓜/475826_味噌南瓜豬.jpg
471965,南瓜,南瓜片炒雞胸,https://icook.tw/recipes/471965,南瓜/471965_南瓜片炒雞胸.jpg
472830,南瓜,金沙南瓜,https://icook.tw/recipes/472830,南瓜/472830_金沙南瓜.jpg
469857,南瓜,煮南瓜,https://icook.tw/recipes/469857,南瓜/469857_煮南瓜.jpg
474930,南瓜,清炒南瓜,https://icook.tw/recipes/474930,南瓜/474930_清炒南瓜.jpg
479528,南瓜,南瓜玫瑰花饅頭(奶素),https://icook.tw/recipes/479528,南瓜/479528_南瓜玫瑰花饅頭(奶素).jpg
469856,南瓜,烤雞肉南瓜,https://icook.tw/recipes/469856,南瓜/469856_烤雞肉南瓜.jpg
476867,南瓜,栗子南瓜豆豉肉,https://icook.tw/recipes/476867,南瓜/476867_栗子南瓜豆豉肉.jpg
473917,南瓜,南瓜蔥油餅塔,https://icook.tw/recipes/473917,南瓜/473917_南瓜蔥油餅塔.jpg
471342,南瓜,南瓜玉米濃湯,https://icook.tw/recipes/471342,南瓜/471342_南瓜玉米濃湯.jpg
475357,南瓜,南瓜馬鈴薯義大利麵,https://icook.tw/recipes/475357,南瓜/475357_南瓜馬鈴薯義大利麵.jpg
459787,南瓜,炸南瓜片,https://icook.tw/recipes/459787,南瓜/459787_炸南瓜片.jpg
476831,南瓜,烤南瓜鮭魚蛋白質沙拉,https://icook.tw/recipes/476831,南瓜/476831_烤南瓜鮭魚蛋白質沙拉.jpg
469314,南瓜,南瓜塔,https://icook.tw/recipes/469314,南瓜/469314_南瓜塔.jpg
472234,南瓜,栗子南瓜湯,https://icook.tw/recipes/472234,南瓜/472234_栗子南瓜湯.jpg
467671,南瓜,南瓜炒米粉（金瓜米粉）,https://icook.tw/recipes/467671,南瓜/467671_南瓜炒米粉（金瓜米粉）.jpg
468704,南瓜,南瓜米粉,https://icook.tw/recipes/468704,南瓜/468704_南瓜米粉.jpg
472343,南瓜,南瓜炒米粉/10分鐘,https://icook.tw/recipes/472343,南瓜/472343_南瓜炒米粉_10分鐘.jpg
468901,南瓜,南瓜湯,https://icook.tw/recipes/468901,南瓜/468901_南瓜湯.jpg
468539,南瓜,氣炸南瓜,https://icook.tw/recipes/468539,南瓜/468539_氣炸南瓜.jpg
470493,南瓜,氣炸南瓜片,https://icook.tw/recipes/470493,南瓜/470493_氣炸南瓜片.jpg
468326,南瓜,佃煮南瓜,https://icook.tw/recipes/468326,南瓜/468326_佃煮南瓜.jpg
473379,南瓜,南瓜洋蔥蔬菜玉米濃湯,https://icook.tw/recipes/473379,南瓜/473379_南瓜洋蔥蔬菜玉米濃湯.jpg
