id,recipe,vege_id
472300,酸白菜 製作~簡單隨手做,9
471221,芫茜南瓜白菜米漿粥,9
473836,黃金泡菜/黃金白菜,9
471620,自製酸白菜,9
409597,清爽豆皮大白菜,9
404848,涼拌大白菜絲,9
472494,全素丸子～素獅子頭,9
431964,【老菜脯大白菜年糕肉絲湯】立春節氣燉湯,9
475683,獅子頭,9
412379,涼拌大白菜～道地外省味兒,9
478578,魚翅雞,9
406100,大白菜炒韓式魚板,9
397861,大白菜炒麵,9
472264,十分鐘上菜-白菜豆皮素食年菜,9
477053,微辣黃金泡菜(五辛素),9
475487,龜甲萬味自慢–日式醬燒醬｜白菜豚肉哥倆好,9
431828,千層白菜豬肉鍋,9
472679,炒大陸妹,11
473934,燙青菜(大陸妹),11
457559,蒜拌大陸妹(福山萵苣),11
463737,燙大陸妹,11
455363,XO醬炒大陸妹,11
457350,蠔油福山萵苣,11
461112,大陸妹配湯包,11
457944,大陸妹鮪魚海苔煎蛋,11
450349,肉燥燙青菜（大陸妹）,11
453855,大陸妹炒豬肉片,11
453093,蒜香冬菜大陸妹,11
450225,清炒大陸妹菜,11
446047,大陸妹炒燒肉,11
448879,油蔥酥炒山上大陸妹,11
438453,蝦醬大陸妹,11
432465,醬拌福山萵苣,11
441959,清炒油蔥大陸妹,11
474170,燙青菜 / 擺盤分享,11
444435,冬菜炒大陸妹或萵苣,11
435893,腐乳大陸妹~簡單隨手做,11
436874,鵝油香蒜炒大陸妹,11
430882,xo醬炒大陸妹,11
473790,肉絲炒時蔬,11
454274,蒜香萵苣,11
451330,肉骨茶麵疙瘩,11
454384,時蔬蛋花湯,11
424188,蒜炒大陸妹～可素食,11
456907,青菜蛋花湯(二),11
475494,龜甲萬味自慢–薑汁燒肉醬｜薑燒肉漢堡,11
434291,免開火蒜香大陸妹/熱水瓶料理/5分鐘,11
426480,晚餐：椒鹽雪花豬、滷味、炒大陸妹,11
416414,綜合菇炒大陸妹,11
423604,15蜜汁豬排肉、炒大陸妹,11
467134,"有時來點口味重的料理
 麻油薑泥麵線",11
469751,銅板省錢料理-什錦素食湯麵,11
467595,古早味油蔥a菜雞（自己紀錄用）,11
404090,Xo醬拌大陸妹,11
459458,香煎雞腿排牛奶鍋麵,11
